benchmark,name,prover,encoding,expected,actual,match,time_s,error
ODRL010,leq-transitivity,vampire,tptp,Theorem,Theorem,True,0.131,
ODRL010,leq-transitivity,z3,smt2,unsat,unsat,True,0.117,
ODRL011,isPartOf-europe-eq-germany-compatible,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL011,isPartOf-europe-eq-germany-compatible,z3,smt2,unsat,unsat,True,0.071,
ODRL012,eq-germany-eq-france-conflict,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL012,eq-germany-eq-france-conflict,z3,smt2,unsat,unsat,True,0.067,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,vampire,tptp,Theorem,Theorem,True,0.060,
ODRL013,isPartOf-wE-isPartOf-eE-conflict,z3,smt2,unsat,unsat,True,1.094,
ODRL014,hasPart-germany-isPartOf-europe-compatible,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL014,hasPart-germany-isPartOf-europe-compatible,z3,smt2,unsat,unsat,True,0.063,
ODRL015,hasPart-germany-eq-poland-conflict,vampire,tptp,Theorem,Theorem,True,0.064,
ODRL015,hasPart-germany-eq-poland-conflict,z3,smt2,unsat,unsat,True,0.072,
ODRL016,neq-germany-isPartOf-wE-compatible,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL016,neq-germany-isPartOf-wE-compatible,z3,smt2,unsat,unsat,True,0.075,
ODRL017,neq-germany-eq-germany-conflict,vampire,tptp,Theorem,Theorem,True,0.062,
ODRL017,neq-germany-eq-germany-conflict,z3,smt2,unsat,unsat,True,0.067,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,vampire,tptp,Theorem,Theorem,True,0.062,
ODRL018,isPartOf-wE-hasPart-bavaria-compatible,z3,smt2,unsat,unsat,True,0.069,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL019,isPartOf-nE-isPartOf-sE-conflict,z3,smt2,unsat,unsat,True,0.739,
ODRL020,isAnyOf-wE-nE-eq-germany-compatible,vampire,tptp,Theorem,Theorem,True,0.063,
ODRL020,isAnyOf-wE-nE-eq-germany-compatible,z3,smt2,unsat,unsat,True,0.064,
ODRL021,isNoneOf-eE-sE-isPartOf-wE-compatible,vampire,tptp,Theorem,Theorem,True,0.072,
ODRL021,isNoneOf-eE-sE-isPartOf-wE-compatible,z3,smt2,unsat,unsat,True,0.069,
ODRL022,isNoneOf-europe-isPartOf-wE-conflict,vampire,tptp,Theorem,Theorem,True,0.064,
ODRL022,isNoneOf-europe-isPartOf-wE-conflict,z3,smt2,unsat,unsat,True,0.070,
ODRL023,isAllOf-wE-eE-eq-germany-conflict,vampire,tptp,Theorem,Theorem,True,0.066,
ODRL023,isAllOf-wE-eE-eq-germany-conflict,z3,smt2,unsat,unsat,True,0.071,
ODRL024,isAnyOf-fr-de-isNoneOf-eE-compatible,vampire,tptp,Theorem,Theorem,True,0.066,
ODRL024,isAnyOf-fr-de-isNoneOf-eE-compatible,z3,smt2,unsat,unsat,True,0.070,
ODRL025,isAnyOf-de-fr-isNoneOf-wE-conflict,vampire,tptp,Theorem,Theorem,True,0.065,
ODRL025,isAnyOf-de-fr-isNoneOf-wE-conflict,z3,smt2,unsat,unsat,True,0.165,
